,BodyID,text
0,0,"b'Britain goes to the polls next week in a general election that looks set to end 14 years of Conservative rule marked by economic turbulence, Brexit, political scandal and upheaval.\n\nPrime Minister Rishi Sunak\'s right-wing Tories are expected to be dumped out of power, with discontent appearing widespread about their record in government and the state of the country.\n\nSunak has been unable to narrow a gaping 20-point polling deficit to Keir Starmer\'s centre-left Labour party, during a largely lacklustre election campaign.\n\nSome predictions put the Conservatives on course for the worst results in their 200-year history and forecast a record majority for Labour, last in office under Gordon Brown in 2010.\n\nOne survey even suggested that Sunak could become the first sitting UK prime minister to lose his own seat.\n\nVoting begins at 7:00 am (0600 GMT) next Thursday and runs until 10:00 pm, with official results trickling in late into the night and early morning.\n\nIncreasingly, the electorate is tipped to send a message to the Conservatives that their time is up, with some Tories already indicating that they can only mitigate the size of Labour\'s win.\n\n""The country is a mess,"" said Tom Lough, an 82-year-old Tory voter in Richmond, northern England, where Sunak is standing for re-election.\n\n""They\'re just not good enough,"" added another Conservative supporter, Bruce Walker, 67, accusing the party of abandoning its values of low taxation and strength on security and immigration.\n\n- \'Broken Britain\' -\n\nDavid Cameron brought the Conservatives to power in 2010, imposing tough austerity measures in the aftermath of the global financial crash, hitting the funding of public services -- and people\'s pockets.\n\nCameron then gambled on appeasing anti-European right-wingers in the party by calling a vote on European Union membership that backfired on him when the public narrowly voted to leave in 2016.\n\nBrexit and what form it should take claimed the premierships first of Cameron, who backed ""remain"", then his successor Theresa May, who failed to get her divorce deal sanctioned by parliament.\n\nBoris Johnson, who took over, managed it with an 80-seat majority following a snap election in 2019, but he was brought down by his handling of the Covid crisis, and claims of corruption and cronyism.\n\nLiz Truss\'s brief tenure in September and October 2022 ended after her unfunded tax-cutting plans spooked the markets and crashed the pound.\n\nSunak, the party\'s fifth leader and prime minister since 2010, has tried to revive its fortunes, vowing to bring down sky-high inflation and cut record levels of immigration.\n\nBut he has struggled to quell public anger at the higher cost of living, frustration with lengthy waits for health appointments, pared-back public services and creaking infrastructure.\n\n""Nothing works in this country anymore and no one in government cares,"" Trades Union Congress leader Paul Nowak said last September. ""The Conservatives have broken Britain.""\n\n- \'Change\' -\n\nBelief in the Tories is wavering even in the predominantly Conservative-supporting national press.\n\n""Almost everything is getting worse, and almost nothing is getting better,"" wrote columnist Allister Heath in the Daily Telegraph earlier this year, although he predicted that things would not get better under Labour.\n\nOther political commentators are predicting that the country is at a historic ""inflection point"" and has a chance to reset, even if Starmer is not promising radical reform.\n\nFive years ago, under veteran socialist Jeremy Corbyn, Labour stood on a hard-left manifesto of huge public spending and renationalisation, and suffered its worst election defeat since 1935.\n\nStarmer, a former human rights lawyer and chief public prosecutor, took over in 2020 and set about ending ideological infighting that had hobbled the party\'s electoral prospects.\n\nHe also took action against claims of anti-Semitism, expelling even Corbyn himself as part of a plan to take the party back to the centre ground.\n\n""We have campaigned as changed Labour and we will govern as changed Labour,"" Starmer, 61, told the Conservative-supporting Daily Mail in an interview published on Wednesday.\n\nBut the party\'s promise of ""change"" is predicted to be a struggle, particularly with the country\'s public finances constrained.\n\nThe Tories have run a negative campaign, warning about Labour profligacy and higher taxes, and promising tougher action on immigration and security.\n\nTheir share of the right-wing vote could be split with the anti-immigration Reform UK party of Brexit champion Nigel Farage, which could spell years in the political wilderness.'"
1,1,"b'Nepali Prime Minister and former Maoist guerrilla commander Pushpa Kamal Dahal lost a parliamentary vote of confidence on Friday barely 18 months after taking office, throwing open the Himalayan republic\'s revolving door leadership.\n\nBetter known by his nom de guerre Prachanda (""The Fierce One""), Dahal led thousands of insurgents during Nepal\'s decade-long civil war but switched to parliamentary politics at the conflict\'s end.\n\nThe 69-year-old was elected prime minister for a third time in December 2022 but will be forced to stand down again after coalition allies withdrew their support.\n\n""Someone like Prachanda, who opens the doors of peace with the power of a revolution, may not be born again,"" Dahal said, referring to himself in the third person during a speech urging lawmakers to keep him in office.\n\nHe was able to win the support of only 63 MPs among the 258 present to vote on the future of his government.\n\nDahal will remain in office under a caretaker government until a parliamentary vote to elect his replacement, expected as early as Sunday.\n\nHis brief tenure was nonetheless one of the longest continuous premierships since Nepal\'s monarchy was abolished in 2008 at the end of the civil war.\n\nOnly three other prime ministers had served in office longer than him over that period, and of those only one lasted more than two years.\n\nDahal himself had served as premier on two earlier occasions for less than a year at a time.\n\nHis Communist Party of Nepal (Maoist Centre) was the third-largest party in parliament after the 2022 poll but he managed to remain in power through deft negotiating.\n\nThree-time premier K.P. Sharma Oli, head of the larger Communist Party of Nepal - Unified Marxist Leninist (CPN-UML) is expected to form the next government with the backing of the centre-left Nepali Congress.\n\nOli, 72, is then expected to yield the post to Congress leader and five-time prime minister Sher Bahadur Deuba, 78, later in the parliamentary term under a deal negotiated between the two parties.\n\n- \'Breaking promises\' -\n\nPolitical journalist Kunda Dixit told AFP that the alliance between Deuba and Oli may prove more stable because they represented the largest two parties in parliament and were ""not so ideologically opposed"" to each other.\n\n""But we have seen leaders breaking promises and back-stabbing each other in the past, so anything is possible,"" he added.\n\nDahal\'s Maoists have played a key role in Nepal\'s politics for more than 20 years, after waging a decade-long insurgency against government forces that claimed more than 16,000 lives.\n\nThe civil war ended in a 2006 peace deal that abolished Nepal\'s monarchy and saw the Maoists brought into government, with Dahal the first post-war premier.\n\nSince then, a revolving door of ageing prime ministers and a culture of horse-trading have fuelled public perceptions that the government is out of touch with Nepal\'s pressing problems.\n\nThe Himalayan nation of 30 million people is sandwiched between powerful neighbours India and China -- with both New Delhi and Beijing jostling for influence.\n\nIts economy has struggled since the coronavirus pandemic, which devastated the vital tourism industry and dried up remittances from the huge number of Nepalis working abroad.'"
2,2,"b'MUMBAI, June 26 (Reuters) - Indian Prime Minister Narendra Modi passed the first big political test of his third term on Wednesday as a ruling party candidate was elected speaker of the lower house of parliament, defeating an opposition lawmaker by a voice vote.\n\nOm Birla, from Modi\'s Bharatiya Janata Party (BJP) who was speaker in the last term of the house, was elected again, beating K Suresh, an eight-time MP from the opposition Congress party.\n\nCongress leader Rahul Gandhi, who was declared the leader of the opposition late on Tuesday by his party, accompanied Modi as they congratulated Birla on his election, a rare show of harmony between the two bitter rivals.\n\nThis is the first time that Gandhi, 54, the scion of the Nehru-Gandhi family, will assume a constitutional role in the parliament, a role that gives him the status of a cabinet minister.\n\n""It is very important that the voice of the opposition is allowed to be represented in this house,"" Gandhi said in his speech while congratulating Birla.\n\nThe speaker of the Lok Sabha, as the lower house is known, is usually a lawmaker from the biggest party and is usually elected unopposed, through a consensus between parties.\n\nThe BJP-led National Democratic Alliance has 293 lawmakers in the lower house, 21 more than the required majority of 272.\n\nModi, who was sworn in as prime minister for a record-equalling third time on June 9, will need the support of regional parties to run his government in his third term, after his party lost its outright majority in parliament.\n\nThe speaker, who conducts business in the decision-making lower house and presides over it, is critical to the passage of laws.\n\nReporting by Shilpa Jamkhandikar; Editing by Raju Gopalakrishnan'"
3,3,"b'Amid the ongoing controversy over the National Eligibility-cum-Entrance Test (NEET), Congress leader and party general secretary Jairam Ramesh on Sunday alleged that the National Testing Agency (NTA) conducts all tests through private companies, adding that they will put forward their demands in the Lok Sabha and Rajya Sabha. The Congress leader demanded the resignation of Union Education Minister Dharmendra Pradhan, stating that this issue is not just about NEET but concerns all the institutions run by the Ministry of Education.'"
4,4,"b""Budget 2024: Shares of MapmyIndia, Genesys soar up to 10% as FM proposes GIS-based urban land records'Kill' OTT release date: Where and how to watch Lakshya-Raghav Juyal starrer ahead of India debutBudget: F&O clampdown begins as Nirmala Sitharaman raises STTSiemens shares down 2.86% as Nifty dropsNPS contribution deduction limit for employer in private sector raised from 10% to 14% of the employee's basic salaryDefence Budget 2024: Allocations for Indian armed forces slashed to Rs 4.56 lakh croreBudget 2024 | Govt to step up adoption of technology for economy digitalisation: FM SitharamanBudget 2024: Securities transaction tax (STT) on F&O hiked to 0.02% and 0.1%Budget speech more focused on posturing than action: Congress leader Jairam RameshIndian rupee declines to record low after government raises tax on capital gainsBudget 2024: Have any changes been made to old income tax regime in budget?Budget 2024: How Modi 3.0 government plans to push Atma NirbhartaEnergy audit of MSMEs in 60 clusters to be facilitated, sops for clusters to shift to clean energy: FM SitharamanLTIMindtree shares down 1.16% as Nifty dropsBudget 2024: Fiscal deficit target for FY25 cut to 4.9% of GDP; govt to beat FY26 goal, too"""
5,5,"b""New Delhi: The Rouse Avenue court on Friday reserved an order on the framing of the charges in a Central Bureau Investigation (CBI) case against Congress leader Jagdish Tytler in the Pul Bangash Sikh killing case.\n\nThe court is likely to pronounce an order on charges on August 2. This case pertains to the killing of Sikhs in the Pul Bangash area in 1984.\n\nSpecial CBI judge Rakesh Siyal, after submissions and clarifications by counsel for the CBI and Jagdish Tytler, reserved an order on the framing of charges. The CBI filed a supplementary charge sheet against Congress leader Jagdish Tytler in May last year.\n\nDuring arguments, defence counsel Manu Sharma placed on record a video of the Doordarshan shoot at Teen Murthy House, where the dead body of Indira Gandhi was kept.\n\nDefence counsel argued that, as per the video, Tytler was present at Teen Murthy House on the day of the alleged incident. This claim was disputed by the CBI and senior advocate, HS Phoolka, counsel for the riot victim. The CBI also referred to the statement of Amitabh Bachchan.\n\nManu Sharma argued that the CBI had filed three closure reports. The CBI filed a charge sheet against co-accused Suresh Kumar Panewala in 2009. He was acquitted by the trial court.\n\nIt was also argued that since 1984 till 2022-23, there have been no witnesses. After a long period of 40 years, witnesses are coming forward. How can they be trusted, he argued.\n\nThe Central Bureau of Investigation on April 16 concluded its arguments on framing of charges. The CBI had said that there were eyewitnesses who saw Jagdish Tytler inciting the mob during the 1984 riots. There is sufficient material to frame charges against the accused, Jagdish Tytler.\n\nDuring his arguments, CBI's Counsel read over the statements of four eyewitnesses, including Surender Singh, who saw the accused inciting the mob after the assassination of the then Prime Minister Indira Gandhi.\n\nThis case is related to the alleged killing of three Sikhs, Thakur Singh, Badal Singh and Gurcharan Singh in front of Pul Bangash Gurudwara on November 1, 1984. Congress leader Jagdish Tytler is accused.\n\nThe CBI filed a supplementary charge sheet against him on May 20, 2023. On August 5, Tytler appeared before the court against the summons issued by the court after taking cognizance of the supplementary charge sheet. Thereafter, he appeared through video conferencing.\n\nEarlier, he was granted anticipatory bail on August 4, 2023, by the session court after hearing his bail application.\n\nOn May 20, the Central Bureau of Investigation filed a chargesheet against Congress leader Jagdish Tytler in a case related to anti-Sikh riots in 1984, following the assassination of the then Prime Minister of India on October 31, 1984.\n\nCongress leader Jagdish Tytler, then Member of Parliament, has been named as accused in the chargesheet. In a statement, the CBI mentioned that the agency had registered the instant case in November 2005 on an incident wherein Gurudwara Pul Bangash at Azad Market, Bara Hindu Rao, Delhi, was set on fire by a mob, and three persons, namely Sardar Thakur Singh, Badal Singh and Gurcharan Singh were burned to death on November 1, 1984, near Gurudwara Pul Bangash.\n\nThe Justice Nanavati Commission of Inquiry was set up in the year 2000 by the Government of India to inquire into the incidents of anti-Sikh riots of the year 1984 in Delhi. After consideration of the Commission's report, the Ministry of Home Affairs (Government of India) issued directions to the CBI to investigate the case against the then Member of Parliament and others.\n\nDuring the CBI investigation, evidence came on record that on November 1, 1984, the said accused allegedly instigated, incited and provoked the mob assembled at Gurudwara Pul Bangash at Azad Market, Delhi, which resulted in the burning of Gurudwara Pul Bangash and the killing of three Sikh persons by the mob, apart from burning and looting of shops."""
6,6,"b'Karnataka introduced draft Bill for app-based platforms to provide social security benefits to gig workers and sought public feedback. The Bill proposes fee on transactions and penalties for non-compliance. It aims to protect workers\' rights and ensure basic social security. It is inspired by Rajasthan law and includes grievance redressal mechanism and prevention of illegal termination. the Bill promises welfare board, fund for gig workers. Discussions have been held with major platforms and International Labour Organisation for input.Karnataka has come up with a draft Bill to mandate app-based delivery and ride-hailing platforms to give social security benefits to gig workers and proposing other welfare measures. The state government has placed the draft in public domain seeking comments from stakeholders.\n\nThe draft Karnataka Platform-based Gig Workers (Social Security and Welfare) Bill, 2024 proposes a fee on each transaction on the platforms. For non-compliance with its provisions, the draft law suggests a monetary penalty.\n\nThis proposed Bill is an improvised version over the Rajasthan law, labour minister Santosh Lad told ET. Rajasthan, by passing a Bill in July last year, became the first state in the country to introduce a law for platform workers.\n\n""Ours is a rights-based Bill aiming to protect the rights of the gig and platform workers,"" he said.\n\nThe proposed Bill is intended to ensure basic minimum social security for workers. It seems to end arbitrary illegal termination of employees, the minister said.\n\nThe rules will follow after the legislature passes the Bill.\n\nAhead of the assembly polls in May last year, Congress leader Rahul Gandhi interacted with gig workers in Bengaluru, discussing their issues and taking a 2 km ride with a delivery partner on his vehicle.\n\nThe Congress party had, in its assembly election manifesto, promised a gig workers\' welfare board and minimum hourly wage for workers in the unorganised sector.\n\nBengaluru is estimated to have about 200,000 gig workers on Dunzo, Swiggy, Blinkit and other delivery platforms. Two years ago, gig workers from Dunzo had protested when the platform introduced an incentive-based model of payment for its delivery agents. The move had effectively slashed the per-delivery payments. The proposed law promises a grievance redressal mechanism and seeks to prevent arbitrary and illegal termination.\n\nThe draft Bill is the outcome of several rounds of discussion with the aggregators and a conference held in collaboration with the International Labour Organization. Labour department officials said they have put out the draft law after discussions with platforms including Amazon, Flipkart, Uber, Ola, Rapido, Zomato, and Dunzo.\n\nThe government has said that every platform-based gig worker and aggregator must register with the labour department. The aggregator must also enter into a fair compensation agreement as per the contract guidelines and templates the government would notify.\n\nThe proposed Bill promises a Platform Workers Welfare Board to monitor registration of platforms with the government and that they comply with other regulations. There will also be a welfare fund, to be raised through the fee on each online transaction or a levy on the annual turnover of the aggregators, contributions from gig workers, grants from the government and other donations.\n\nThe draft law seeks transparency in algorithm control through automated monitoring and decision-making systems.'"
7,7,"b'Speaking to on Wednesday, Chhattisgarh Congress Incharge, Sachin Pilot, said that the state Congress committee has announced to gherao the Chhattisgarh Vidhan Sabha on Wednesday. He also said that Congress workers and the general public from the entire state will stage the gherao of the Assembly. Thousands of Congress workers from across the state, along with all the senior leaders of the party, are expected to participate in the demonstration.The Congress party is set to stage a gherao of the Assembly on Wednesday to protest against the alleged deteriorating law and order in the state and various other issues amidst the ongoing monsoon session of the Assembly.\n\nThousands of Congress workers from across the state, along with all the senior leaders of the party, are expected to participate in the demonstration.\n\nSpeaking to on Wednesday, Chhattisgarh Congress Incharge, Sachin Pilot, said, ""The state Congress committee has announced to gherao the Chhattisgarh Vidhan Sabha today. Congress workers and the general public from the entire state will stage the gherao of the Assembly today.""\n\n""It is one thing not to fulfil the promises made at the time of elections but the way the government is being run every day here, the crimes are touching heights and the law and order situation has been deteriorating in the state. The government is not focused on governing. They are only focused on targeting the opposition and harassing the people of the Congress party,"" said Sachin Pilot.\n\nAdding further, he said, ""Yesterday the Union Budget was presented, and it is true that Congress leader Rahul Gandhi termed it a \'Sarkar Bachao Budget,"" he said.\n\n""We have no qualms with the people of Andhra Pradesh or Bihar, but in the way the budget came, Chhattisgarh has 11 seats in the Lok Sabha here and the BJP has the majority, but what did this state get in the budget? That cannot be found even if you search for it,"" said Pilot.\n\nHe further said that there are no chances of inflation coming down, even with this year\'s budget.\n\n""The NDA only does \'bayanbaazi\'. Their ministers, chief ministers and party leaders only make statements. The public assurances they gave the public for a majority, regarding inflation, employment, law and order, and governance--all of these do not seem to be getting fulfilled anywhere in the near future,"" he said.\n\n""It is our responsibility and a right as a constructive opposition in the democracy to stage demonstrations, rallies and protests for our rights. The Vidhan Sabha Gherao today will include leaders from all states and we will all unite to raise the voice of the people,"" Pilot stated.\n\n""This is not a Congress event, we are gathering to raise the voice of the people as the main opposition party and open the eyes of the central government towards the demands of the people,"" he said.\n\nThe traffic police have issued parking locations and route charts for the Congress workers coming from different parts of the state to participate in the protest.\n\nMeanwhile, the opposition INDIA bloc MPs held a protest in the Parliament complex on Wednesday, against the Union Budget, presented on Tuesday by Finance Minister Nirmala Sitharaman.\n\n""Opposition virodhi kursi bachao Budget murda baad"" slogans were raised by the INDIA bloc leaders as they protested holding placards in the Parliament building, claiming that the Budget is ""discriminatory"" in nature.\n\nLeader of Opposition Rahul Gandhi, Congress MP Sonia Gandhi, Congress president Mallikarjun Kharge, party General Secretary KC Venugopal, Samajwadi Party chief Akhilesh Yadav, TMC MP Dola Sen were seen participating in the protest.\n\n""This is a deceitful budget, and it is an injustice,"" Congress chief Kharge said, speaking to reporters during the protest.\n\nOn whether he will be participating in the general discussion of the budget, Kharge said, ""We will protest and then we will see.\n\n""Earlier on Tuesday, the INDIA bloc\'s Floor Leaders (Lok Sabha and Rajya Sabha) held a meeting at Congress national president Mallikarjun Kharge\'s residence.\n\nThe leader of the opposition in the Lok Sabha, Rahul Gandhi, criticised the Union Budget 2024-25 on Tuesday, accusing the Finance Minister of making hollow promises.\n\nTaking to social media platform \'X,\' he tweeted, ""Kursi Bachao Budget. Appease Allies: Hollow promises to them at the cost of other states. Appease Cronies: Benefits to AA with no relief for the common Indian. Copy and paste: Congress manifesto and previous budgets.""\n\nMallikarjun Kharge also took to \'X,\' tweeting, ""Modi Government\'s \'copycat budget\' could not even copy Congress\' justice agenda properly! The Modi government\'s budget is distributing half-hearted \'rewadis\' to dupe its coalition partners so that the NDA survives. This is not a budget for the \'progress of the country,\' it is a \'save Modi government\' budget!""\n\nCongress leader Jairam Ramesh said on Tuesday that the Narendra Modi government has failed to conduct the census, and Finance Minister Nirmala Sitharaman\'s budget speech on Tuesday did not mention funds for the decadal population census, which was supposed to take place in 2021. (ANI)'"
8,8,"b'Guwahati: Days after the statue of Mahatma Gandhi was removed for the construction of a clock tower in Assam\'s Doomdooma town in Tinsukia district, Chief Minister Himanta Biswa Sarma on Friday said he was unaware of such a move and would verify the facts.\n\nThe issue of replacing the statue which is over 60-year-old has snowballed into major controversy with opposition Congress staging protest. Locals and organisations are miffed by the district administrations\' decision.\n\nThe statue was removed as part of the Doom Doom\'s makeover project which included building a clock tower and replacing the old statue with another statue.\n\nThe statue was installed in town during the chairmanship of Late Ram Bachan Singh in 1960, it was a town committee that now has become a Municipal Board. The statue was installed over a well. Doom Dooma town has several wells.\n\nOfficials in the board said that statue was then brought from Gujarat. ""One side of the spectacles of the statue was damaged and there were a couple of damages that have crept in the statue over the years. The face of the statue was facing the old AT Raad which is no longer the entry point of Doom Dooma town.""\n\nSarma, reacting to a post by Mahatma\'s great-grandson Tushar Gandhi, wrote on X: ""I am not aware of this decision taken by the district administration. Let me verify the facts."" The chief minister also maintained that Assam owes much to Mahatma Gandhi.\n\n""He stood firmly with Bharat Ratna Gopinath Bordoloi when the Congress party led by Nehru wanted to include Assam in Pakistan under the Grouping Plan,"" Sarma said on the microblogging site.\n\nOn Thursday, Doomdooma MLA Rupesh Gowala assured them that a new and taller statue of the Father of the Nation would be erected at the same site.\n\nThe BJP legislator claimed that the statue was in a somewhat dilapidated condition and the new one would be installed within six months, along with beautification of the site.\n\nTushar Gandhi wrote, ""Not surprising that the BJP government in Assam decided to replace Bapu\'s statue with a clock tower in Dibrugarh. Their slavish colonial hangover persists.""\n\nLakhimpur MP Pradan Baruah laid the foundation stone of the project before the 2024 Lok Sabha election, but the work was not started.\n\nWhen the contractor began the work a couple of days ago, former MLA of Doomdooma and Congress leader Durga Bhumij along with some Congressmen arrived at the site and opposed the removal of the statue of Gandhi and building a clock tower there.\n\nBhumij alleged that the BJP never paid due respect to Gandhi. Instead, it always gave respect to Nathuram Godse. At a time when Gandhi\'s statue was set up in as many as 80 countries around the world, the Board is going to build a clock tower by removing the statue of the Father of the Nation. The board should take the opinion of the public before taking this scheme, he said.\n\nWhen a few Congress workers had gone to the Board\'s office to see the Detailed Project Report, the DMB officials failed to show them the same, Bhumij alleged.\n\nRupesh Gowala, said there is funding for the project. The old statue was five feet tall, but the new statue will be taller than the old one. ""It will take around five to six months to complete the entire project. After that people will get the complete picture.""'"
9,9,"b'Trinamool Congress leader Sudip Bandyopadhyay and DMK leader T R Baalu congratulated Om Birla on his re-election as Lok Sabha Speaker. They expressed hopes for his impartiality towards the opposition. Bandyopadhyay emphasized that the House should serve the opposition, criticizing the suspension of opposition MPs and passing bills without debate. Baalu urged Birla to treat all parties equally, stating Birla should now act without political biasTrinamool Congress leader Sudip Bandyopadhyay and DMK leader T R Baalu on Wednesday congratulated Om Birla for being elected speaker of the Lok Sabha for a second term and hoped he would be impartial towards the opposition. Bandyopadhyay said the functioning of the House always depends on the attitude of the treasury benches and the House belongs to the opposition.\n\n""It is my firm belief and so far parliamentary democratic practice is concerned, the House belongs to the opposition. This attitude needs to be adopted by the ruling party,"" he said.\n\nHe mentioned the suspension of opposition MPs in the 17th Lok Sabha and said it was ""not desirable"".\n\nHe also said while Prime Minister Narendra Modi mentioned several bills being passed, many were passed without any debate.\n\nDMK\'s Baalu said that now that Birla is the Speaker, he does not belong to any party anymore.\n\n""You might have been elected by my BJP friends (but) hereafter there is no politics between you and the powers. You don\'t have any colour also. You have to treat the opposition and the ruling party in the same manner. Kindly be impartial,"" he said.'"
