,Headlines,BodyID
0,b'UK election campaign enters final straight',0
1,b'UK election campaign enters final straight',1
2,b'UK election campaign enters final straight',2
3,b'UK election campaign enters final straight',3
4,b'UK election campaign enters final straight',4
5,b'UK election campaign enters final straight',5
6,b'UK election campaign enters final straight',6
7,b'UK election campaign enters final straight',7
8,b'UK election campaign enters final straight',8
9,b'UK election campaign enters final straight',9
10,b'UK election campaign enters final straight',10
11,b'UK election campaign enters final straight',11
12,b'UK election campaign enters final straight',12
13,b'UK election campaign enters final straight',13
14,b'UK election campaign enters final straight',14
15,b'UK election campaign enters final straight',15
16,b'UK election campaign enters final straight',16
17,b'UK election campaign enters final straight',17
18,b'UK election campaign enters final straight',18
19,b'UK election campaign enters final straight',19
20,b'UK election campaign enters final straight',20
21,b'UK election campaign enters final straight',21
22,b'UK election campaign enters final straight',22
23,b'UK election campaign enters final straight',23
24,b'UK election campaign enters final straight',24
25,b'UK election campaign enters final straight',25
26,b'UK election campaign enters final straight',26
27,b'UK election campaign enters final straight',27
28,b'UK election campaign enters final straight',28
29,b'UK election campaign enters final straight',29
30,b'UK election campaign enters final straight',30
31,b'UK election campaign enters final straight',31
32,b'UK election campaign enters final straight',32
33,b'UK election campaign enters final straight',33
34,b'UK election campaign enters final straight',34
35,b'UK election campaign enters final straight',35
36,b'UK election campaign enters final straight',36
37,b'UK election campaign enters final straight',37
38,b'UK election campaign enters final straight',38
39,b'UK election campaign enters final straight',39
40,b'UK election campaign enters final straight',40
41,b'UK election campaign enters final straight',41
42,b'UK election campaign enters final straight',42
43,b'UK election campaign enters final straight',43
44,b'UK election campaign enters final straight',44
45,b'UK election campaign enters final straight',45
46,b'UK election campaign enters final straight',46
47,b'UK election campaign enters final straight',47
48,b'UK election campaign enters final straight',48
49,b'UK election campaign enters final straight',49
50,b'UK election campaign enters final straight',50
51,b'UK election campaign enters final straight',51
52,b'UK election campaign enters final straight',52
53,b'UK election campaign enters final straight',53
54,b'UK election campaign enters final straight',54
55,b'UK election campaign enters final straight',55
56,b'UK election campaign enters final straight',56
57,b'UK election campaign enters final straight',57
58,b'UK election campaign enters final straight',58
59,b'UK election campaign enters final straight',59
60,b'UK election campaign enters final straight',60
61,b'UK election campaign enters final straight',61
62,b'UK election campaign enters final straight',62
63,b'UK election campaign enters final straight',63
64,b'UK election campaign enters final straight',64
65,b'UK election campaign enters final straight',65
66,b'UK election campaign enters final straight',66
67,b'UK election campaign enters final straight',67
68,b'UK election campaign enters final straight',68
69,b'UK election campaign enters final straight',69
70,b'UK election campaign enters final straight',70
71,b'UK election campaign enters final straight',71
72,b'UK election campaign enters final straight',72
73,b'UK election campaign enters final straight',73
74,b'UK election campaign enters final straight',74
75,b'UK election campaign enters final straight',75
76,b'UK election campaign enters final straight',76
77,b'UK election campaign enters final straight',77
78,b'UK election campaign enters final straight',78
79,b'UK election campaign enters final straight',79
80,b'UK election campaign enters final straight',80
81,b'UK election campaign enters final straight',81
82,b'UK election campaign enters final straight',82
83,b'UK election campaign enters final straight',83
84,b'UK election campaign enters final straight',84
85,b'UK election campaign enters final straight',85
86,b'UK election campaign enters final straight',86
87,b'UK election campaign enters final straight',87
88,b'UK election campaign enters final straight',88
89,b'UK election campaign enters final straight',89
90,b'UK election campaign enters final straight',90
91,b'UK election campaign enters final straight',91
92,b'UK election campaign enters final straight',92
93,b'UK election campaign enters final straight',93
94,b'UK election campaign enters final straight',94
95,b'UK election campaign enters final straight',95
96,b'UK election campaign enters final straight',96
97,b'UK election campaign enters final straight',97
98,b'UK election campaign enters final straight',98
99,b'UK election campaign enters final straight',99
100,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",100
101,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",101
102,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",102
103,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",103
104,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",104
105,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",105
106,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",106
107,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",107
108,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",108
109,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",109
110,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",110
111,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",111
112,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",112
113,"b'Inde: Modi appelle au ""consensus"" \xc3\xa0 l\'ouverture du nouveau Parlement'",113
