source,reputation,articles,size
source,reputation,articles,100
b'Yahoo News',-0.02516163901352463,"[0, 1, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 409, 410]",100
b'CNN',-0.07653746995256651,"[2, 3, 413, 414]",100
b'Economic Times',-0.00015617153140983503,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497, 498, 499, 500, 501, 502, 503, 504]",100
b'Yahoo! Finance',-0.0019961704453856782,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 405, 406, 407, 408, 411]",100
b'Yahoo!',-0.019001343128245668,[182],100
b'The Times of India',-0.005602716732875197,"[212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367]",100
b'Yahoo',-0.0834057348229954,"[228, 230]",100
b'Yahoo News UK',-0.09010897408367657,"[229, 371]",100
b'MoneyControl',-0.06961413267118054,"[231, 232, 372, 373, 374, 375, 376, 377, 378]",100
b'NDTV',-0.04332819925996805,"[233, 234, 235, 236, 237, 238, 239, 240, 379, 380, 381, 382, 383, 384, 385]",100
b'Rediff.com India Ltd.',-0.06642721029887451,"[241, 242, 243, 244, 386, 387, 388, 389]",100
b'The Indian Express',-0.02413995298416113,"[245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399]",100
b'Hindustan Times',-0.0296993408092762,"[259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282]",100
b'News18',-0.08802331381828964,"[283, 284, 285, 286]",100
b'Frontline',-0.09722732823708069,[287],100
b'The Independent',-0.0974006442765642,"[288, 289]",100
"b'India News, Breaking News, Entertainment News | India.com'",-0.09900990099009901,[290],100
b'Zee News',-0.0951589538670289,[291],100
b'mint',-0.09268141206858932,"[292, 293, 294, 295, 296]",100
b'India Today',-0.09420452352542069,"[297, 298, 299]",100
b'Financial Times News',-0.09246179702656186,"[368, 369, 370]",100
b'The Hans India',-0.08360173141910755,[400],100
b'Social News XYZ',-0.08699629695766632,[401],100
b'The Shillong Times',-0.09609803444828163,[402],100
b'Ommcom News',-0.09234832224823127,[403],100
b'Weekly Voice',-0.09143398242399135,[404],100
b'AP NEWS',-0.07710773541874748,[412],100
b'The New York Times',-0.0860487710692683,[415],100
b'ETCFO.com',-0.09446997536296603,[416],100
b'Stories',-0.09913785460214,[],100
b'Reuters',-0.08740603052693499,[],100
b'CNN International',-0.09802960494069209,[],100
b'BBC',-0.09123383743176205,[],100
b'Aol',-0.09900990099009901,[],100
b'TIME',-0.09900990099009901,[],100
b'Azeri - Press Informasiya Agentliyi',-0.09327180547071356,[],100
b'Malaysiakini.com',-0.09900990099009901,[],100
"b""People's Daily, China""",-0.09705901479276445,[],100
b'China.org.cn',-0.09802960494069209,[],100
b'Ghanaian Times',-0.09900990099009901,[],100
b'China Daily Asia',-0.09802960494069209,[],100
b'foreignaffairs.co.nz',-0.09802960494069209,[],100
b'WEIS',-0.09420452352542069,[],100
b'europesun.com',-0.09900990099009901,[],100
b'industriesnews.net',-0.09705901479276445,[],100
b'China News',-0.09705901479276445,[],100
b'english.news.cn',-0.09705901479276445,[],100
b'mfa.gov.cn',-0.09900990099009901,[],100
b'Yahoo actualit\xc3\xa9s',-0.09319786969036406,[],100
b'The Guardian',-0.09802960494069209,[],100
b'Daily Mail Online',-0.08580209398821316,[],100
b'CNBC',-0.09900990099009901,[],100
b'RT',-0.09705901479276445,[],100
b'Inquirer',-0.09900990099009901,[],100
"b'VnExpress International \xe2\x80\x93 Latest news, business, travel and analysis from Vietnam'",-0.09900990099009901,[],100
b'ABC News',-0.09900990099009901,[],100
b'NPR',-0.09900990099009901,[],100
b'UrduPoint',-0.0972645614070172,[],100
b'Legit.ng - Nigeria news.',-0.09900990099009901,[],100
b'Dawn',-0.09705901479276445,[],100
b'The Sun',-0.09900990099009901,[],100
b'The Hindu',-0.08035466985347471,[],100
b'RFI',-0.09900990099009901,[],100
b'Standard Digital News - Kenya',-0.09900990099009901,[],100
b'Vanguard',-0.09900990099009901,[],100
b'France 24',-0.09813384736120805,[],100
b'CNA',-0.0981338222227607,[],100
b'The Star ',-0.09802960494069209,[],100
b'news.rthk.hk',-0.09900990099009901,[],100
b'timesofmalta.com',-0.09802960494069209,[],100
b'Associated Press',-0.09802960494069209,[],100
b'The Seattle Times',-0.09900990099009901,[],100
b'NewsMax',-0.09900990099009901,[],100
b'The Daily Star',-0.09726431712601386,[],100
b'Firstpost',-0.09255144911671104,[],100
b'The US Sun',-0.09900990099009901,[],100
b'The News International',-0.09705901479276445,[],100
b'The Boston Globe',-0.09900990099009901,[],100
b'The Star',-0.09802960494069209,[],100
b'The Korea Times',-0.09900990099009901,[],100
b'Deccan Chronicle',-0.08973850197220562,[],100
b'Star Tribune',-0.09900990099009901,[],100
b'Gulf-Times',-0.09900990099009901,[],100
b'Newsday',-0.09900990099009901,[],100
b'Zawya.com',-0.09900990099009901,[],100
b'Military',-0.09900990099009901,[],100
b'Bangladesh Sangbad Sangstha (BSS)',-0.09716202062334273,[],100
b'BNN',-0.09900990099009901,[],100
b'San Diego Union-Tribune',-0.09900990099009901,[],100
b'Daily Sabah',-0.09802960494069209,[],100
b'The Nation',-0.09900990099009901,[],100
b'Yen.com.gh - Ghana news.',-0.09900990099009901,[],100
b'The Detroit News',-0.09900990099009901,[],100
b'International Business Times',-0.09802960494069209,[],100
b'NBC New York',-0.09900990099009901,[],100
b'The Business Times',-0.09900990099009901,[],100
b'NBC Southern California',-0.09900990099009901,[],100
b'WION',-0.09900990099009901,[],100
b'WDIV',-0.09900990099009901,[],100
b'Digital Journal',-0.09900990099009901,[],100
b'Malay Mail',-0.09813258612542243,[],100
b'WTOP',-0.09900990099009901,[],100
b'The Diplomat Magazine',-0.09900990099009901,[],100
b'NBC Chicago',-0.09900990099009901,[],100
b'KXAN.com',-0.09900990099009901,[],100
b'WKMG',-0.09900990099009901,[],100
b'Investing.com UK',-0.09900990099009901,[],100
b'Markets Insider',-0.09900990099009901,[],100
b'FOX News Radio',-0.09900990099009901,[],100
b'Yahoo Sports Canada',-0.09900990099009901,[],100
b'Yahoo!7 News',-0.09900990099009901,[],100
b'Yahoo Sports',-0.09900990099009901,[],100
b'Seeking Alpha',-0.09900990099009901,[],100
b'United States Department of State',-0.09900990099009901,[],100
b'Al Jazeera Online',-0.09802960494069209,[],100
b'Haberler.com',-0.09609803444828163,[],100
b'Anadolu Ajans\xc4\xb1',-0.09705901479276445,[],100
b'Oneindia',-0.09900990099009901,[],100
b'Zero Hedge',-0.09609803444828163,[],100
b'Le Monde.fr',-0.09900990099009901,[],100
b'The Daily Beast',-0.09826982545079498,[],100
b'Republic World',-0.09705901479276445,[],100
b'english',-0.0952636798157426,[],100
b'TimesNow',-0.09609803444828163,[],100
b'VietNamNet News',-0.09802960494069209,[],100
b'The Conversation',-0.09900990099009901,[],100
b'The Financial Express',-0.09913053595665684,[],100
b'Asianet News Network Pvt Ltd',-0.09802960494069209,[],100
b'India TV News',-0.09729666706392873,[],100
b'The New Indian Express',-0.09514656876067489,[],100
b'ThePrint',-0.09246078625325733,[],100
b'Daily Star',-0.09900990099009901,[],100
b'Barrons',-0.0991304659126217,[],100
b'The White House',-0.09900990099009901,[],100
b'Benzinga',-0.09900990099009901,[],100
b'FXStreet',-0.09802960494069209,[],100
b'Daily News and Analysis (DNA) India',-0.09913045419935859,[],100
b'The Peninsula',-0.09900990099009901,[],100
b'Washington Examiner',-0.09900990099009901,[],100
b'\xd8\xac\xd8\xb1\xd9\x8a\xd8\xaf\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x87\xd8\xb1\xd8\xa7\xd9\x85',-0.09900990099009901,[],100
b'MorungExpress',0.0,[],100
b'Eastern Mirror',0.0,[],100
b'Yahoo News (Taiwan)',0.0,[],100
b'ETtoday\xe6\x96\xb0\xe8\x81\x9e\xe9\x9b\xb2',0.0,[],100
b'Zee Business',-2.4817854907792066e-05,[],100
b'mid-day',-2.4897855833750167e-05,[],100
b'Free Press Journal',-2.3575055315978347e-05,[],100
b'The Telegraph',0.0,[],100
b'Devdiscourse',-3.5278390621496456e-05,[],100
b'LatestLY',-0.00043607475729826224,[],100
b'Asian News International (ANI)',-0.0007948705851852618,[],100
b'Newsd.in',0.0,[],100
b'Swarajyamag',0.0,[],100
b'The Statesman',-1.2507040774809596e-05,[],100
