,0
0,0
1,2
2,0
3,3
4,0
5,0
6,3
7,0
8,2
9,3
10,2
11,0
12,2
13,3
14,2
15,0
16,0
17,2
18,2
19,2
20,0
21,0
22,3
23,0
24,2
25,2
26,3
27,0
28,3
29,0
30,2
31,2
32,0
33,2
34,2
35,0
36,0
37,2
38,2
39,3
40,0
41,0
42,0
43,2
44,2
45,0
46,2
47,2
48,0
49,0
50,3
51,0
52,0
53,0
54,2
55,3
56,2
57,2
58,2
59,2
60,0
61,0
62,2
63,2
64,0
65,0
66,2
67,2
68,3
69,3
70,3
71,2
72,3
73,2
74,2
75,0
76,2
77,3
78,3
79,3
80,2
81,0
82,0
83,2
84,0
85,2
86,3
87,2
88,2
89,0
90,0
91,0
92,2
93,3
94,3
95,3
96,2
97,3
98,2
99,2
100,2
101,3
102,2
103,0
104,2
105,2
106,3
107,0
108,2
109,2
110,2
111,0
112,3
113,2
114,3
115,0
116,2
117,0
118,2
119,2
120,0
121,2
122,2
123,2
124,0
125,3
126,2
127,2
128,0
129,2
130,2
131,2
132,2
133,3
134,2
135,2
136,0
137,2
138,0
139,2
140,3
141,3
142,2
143,3
144,3
145,2
146,0
147,3
148,0
149,2
150,2
151,2
152,3
153,2
154,2
155,2
156,3
157,2
158,3
159,2
160,2
161,3
162,3
163,2
164,2
165,2
166,2
167,3
168,3
169,3
170,2
171,2
172,2
173,3
174,2
175,3
176,2
177,3
178,2
179,2
180,2
181,3
182,3
183,2
184,2
185,2
186,3
187,0
188,3
189,3
190,3
191,2
192,3
193,3
194,3
195,2
196,2
197,2
198,3
199,3
200,0
201,2
202,3
203,0
204,2
205,3
206,2
207,2
208,0
209,3
210,3
211,3
212,3
213,3
214,2
215,2
216,2
217,3
218,2
219,0
220,3
221,3
222,0
223,0
224,2
225,2
226,3
227,2
228,2
229,2
230,3
231,3
232,2
233,2
234,0
235,3
236,2
237,2
238,2
239,2
240,3
241,2
242,3
243,0
244,3
245,2
246,2
247,3
248,0
249,0
250,2
251,3
252,0
253,3
254,2
255,2
256,3
257,2
258,2
259,3
260,2
261,2
262,0
263,2
264,2
265,0
266,2
267,3
268,3
269,0
270,3
271,2
272,2
273,2
274,2
275,2
276,3
277,3
278,2
279,2
280,2
281,0
282,2
283,2
284,2
285,2
286,2
287,2
288,0
289,2
290,2
291,2
292,0
293,3
294,2
295,3
296,3
297,3
298,0
299,0
300,2
301,2
302,0
303,0
304,2
305,0
306,0
307,2
308,2
309,0
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,0
318,0
319,3
320,3
321,2
322,0
323,2
324,2
325,2
326,2
327,0
328,3
329,2
330,0
331,0
332,2
333,0
334,0
335,0
336,3
337,3
338,2
339,3
340,2
341,0
342,0
343,0
344,0
345,0
346,2
347,0
348,0
349,2
350,0
351,2
352,0
353,0
354,0
355,2
356,3
357,3
358,3
359,2
360,3
361,3
362,0
363,2
364,2
365,2
366,3
367,3
368,0
369,2
370,2
371,2
372,3
373,3
374,0
375,3
376,0
377,0
378,3
379,3
380,3
381,3
382,0
383,0
384,0
385,0
386,2
387,3
388,0
389,2
390,0
391,3
392,3
393,0
394,3
395,0
396,0
397,3
398,3
399,3
400,3
401,0
402,0
403,2
404,2
405,0
406,0
407,3
408,3
409,3
410,2
411,0
412,2
413,0
414,2
415,3
416,2
417,3
418,3
419,3
420,2
421,3
422,0
423,0
424,3
425,0
426,3
427,3
428,0
429,0
430,0
431,0
432,3
433,3
434,2
435,2
436,3
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,3
453,2
454,2
455,3
456,2
457,2
458,3
459,3
460,2
461,3
462,3
463,2
464,3
465,2
466,3
467,2
468,2
469,2
470,2
471,3
472,2
473,3
474,2
475,2
476,2
477,2
478,0
479,3
480,2
481,2
482,3
483,2
484,3
485,2
486,2
487,2
488,3
489,2
490,2
491,0
492,2
493,2
494,2
495,2
496,0
497,2
498,2
499,3
500,3
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,3
513,3
514,2
515,2
516,2
517,2
518,2
519,2
520,3
521,2
522,2
523,2
524,3
525,3
526,3
527,2
528,3
529,2
530,3
531,3
532,2
533,2
534,2
535,0
536,2
537,2
538,2
539,2
540,0
541,2
542,0
543,2
544,0
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,3
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,2
575,2
576,3
577,2
578,2
579,2
580,2
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,0
590,0
591,2
592,2
593,2
594,3
595,2
596,3
597,2
598,2
599,2
600,3
601,2
602,2
603,3
604,0
605,2
606,2
607,2
608,2
609,3
610,2
611,2
612,2
613,2
614,2
615,3
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,0
631,0
632,2
633,2
