,id,source,url
0,0,b'Yahoo News',b'https://sg.news.yahoo.com/india-bjps-election-videos-targeting-112425609.html'
1,1,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/elections-in-fifth-gear-fate-of-several-important-leaders-to-be-sealed-on-may-20/articleshow/110254298.cms'
2,2,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/india-govt-to-scrap-agnipath-scheme-send-rs-8500-to-womens-accounts-each-month-rahul-gandhi/articleshow/110463755.cms'
3,3,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pune-porsche-accident-why-not-ask-truck-and-bus-drivers-to-write-essay-rahul-gandhi-to-pm-modi/articleshow/110309159.cms'
4,4,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/har-saal-gareeb-parivar-ki-ek-mahila-ko-rs-1-lakh-taka-tak-taka-tak-rahul-gandhi-counters-pm-modis-remark/articleshow/110253795.cms'
5,5,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/is-congress-aware-of-cost-of-implementing-rahul-gandhis-khata-khat-schemes-fm-nirmala-sitharaman/articleshow/110085536.cms'
6,6,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/up-hearing-in-2018-defamation-case-against-rahul-gandhi-postponed-to-may-14/articleshow/109774056.cms'
7,7,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/bjp-will-scrap-constitution-if-voted-to-power-rahul-gandhi/articleshow/110529566.cms'
8,8,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/congress-came-to-power-in-karnataka-with-sdpis-support-alleges-amit-shah/articleshow/109815147.cms'
9,9,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/j-p-nadda-amit-malviya-summoned-by-bengaluru-police-over-social-media-post/articleshow/109952406.cms'
10,10,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/rahul-gandhi-pays-tribute-to-sidhu-moose-wala-on-punjabi-singers-death-anniversary/articleshow/110529675.cms'
11,11,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/maharashtra/rahul-gandhi-didnt-visit-ram-temple-for-fear-of-losing-vote-bank-amit-shah/articleshow/110086303.cms'
12,12,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/matter-of-grave-concern-pm-modi-on-pakistan-support-for-rahul-gandhi-arvind-kejriwal/articleshow/110474460.cms'
13,13,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/false-baseless-misleading-ayodhyas-temple-trust-rebuts-rahul-gandhis-claim-of-not-inviting-president-murmu-for-pran-pratishtha/articleshow/109742877.cms'
14,14,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/congress-claims-kharges-helicopter-checked-in-bihar-says-poll-officials-targeting-opposition-leaders/articleshow/110051002.cms'
15,15,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/rahul-gandhi-akhilesh-yadav-hit-out-at-pm-modi-for-ignoring-farmers-youngsters/articleshow/110124462.cms'
16,16,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/every-time-people-have-answered-rahuls-barbs-against-pm-modi-ravi-shankar-prasad/articleshow/109743700.cms'
17,17,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/assembly-elections/maharashtra/congress-holding-pm-modi-responsible-for-nehrus-mistakes-jaishankar-on-china-issue/articleshow/110086453.cms'
18,18,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/delhi/election-is-fight-to-safeguard-constitution-rahul-gandhi/articleshow/110357095.cms'
19,19,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/delhi/no-india-bloc-member-supports-sam-pitrodas-racist-remarks-aap-mp-sanjay-singh/articleshow/109951770.cms'
20,20,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pm-modi-changed-countrys-political-culture-in-10-years-jp-nadda/articleshow/110232591.cms'
21,21,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/maharashtra/savarkar-is-not-election-issue-modi-tried-to-polarise-voters-says-pawar/articleshow/110232594.cms'
22,22,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/have-an-emotional-connect-with-rae-bareli-rahul-gandhi/articleshow/110124316.cms'
23,23,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pms-mangalsutra-remark-is-response-to-congress-over-wealth-redistribution-we-have-never-divided-society-says-jp-nadda/articleshow/110232980.cms'
24,24,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/rahul-gandhi-displaying-chinese-constitution-at-rallies-himanta-biswa-sarma/articleshow/110233220.cms'
25,25,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/shehzada-has-accepted-pm-modi-vs-rahul-gandhi-over-system-aligned-against-lower-castes-remark/videoshow/110341068.cms'
26,26,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/sinhasan-khali-karo-priyanka-gandhi-exudes-confidence-after-massive-crowd-at-india-rally-in-prayagraj/articleshow/110253444.cms'
27,27,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/suspense-continues-over-rahul-priyankas-candidatures-from-raebareli-and-amethi-final-decision-today/articleshow/109769663.cms'
28,28,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/bjp-slams-rahul-mamata-over-reservation-issue-accuses-india-bloc-of-appeasement-politics/articleshow/110365614.cms'
29,29,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/delhi/rahul-gandhi-takes-delhi-metro-ride-with-kanhaiya-kumar-for-mangolpuri-rally/articleshow/110363514.cms'
30,30,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/pm-modi-would-have-got-tough-fight-from-priyanka-gandhi-in-varanasi-feel-congress-workers/articleshow/110563173.cms'
31,31,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/akhilesh-yadav-will-be-defeated-in-kannauj-rahul-gandhi-in-rae-bareli-keshav-prasad-maurya/articleshow/109887376.cms'
32,32,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/shatranj-ki-kuch-chaale-baaki-jairam-ramesh-says-rahul-gandhis-candidacy-from-rae-bareli-is-well-strategized/articleshow/109810797.cms'
33,33,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/seen-pmo-from-indira-gandhi-to-manmohan-singh-days-it-is-aligned-against-lower-castes-rahul-gandhi/videoshow/110338953.cms'
34,34,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/assembly-elections/odisha/martin-luther-king-jr-mandela-einstein-took-inspiration-from-mahatma-gandhi-rahul-gandhi/articleshow/110562641.cms'
35,35,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/my-family-works-for-rae-bareli-pm-modi-for-adani-ambani-rahul-gandhi/articleshow/110083038.cms'
36,36,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pm-modi-betrayed-youth-by-forcibly-imposing-agnipath-scheme-rahul-gandhi/articleshow/110404958.cms'
37,37,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/x-takes-down-karnataka-bjps-animated-clip-on-muslim-quota-row-after-ec-prod/articleshow/109954733.cms'
38,38,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/lok-sabha-elections-rahul-gandhi-can-be-scared-of-atom-bomb-bjp-is-not-says-amit-shah/articleshow/110052659.cms'
39,39,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pm-yet-to-muster-courage-to-accept-invitation-for-debate-with-rahul-gandhi-says-jairam-ramesh/articleshow/110134860.cms'
40,40,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/rahul-gandhi-should-apologise-for-politicising-rohith-vemulas-suicide-sitharaman/articleshow/109843489.cms'
41,41,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/bihar/at-bihar-rally-modi-targets-lalu-on-godhra-incident-oppn-parties-on-quotas/articleshow/109843386.cms'
42,42,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/modi-govt-snatching-away-reservation-by-blindly-implementing-privatisation-rahul-gandhi/articleshow/109776723.cms'
43,43,b'Economic Times',b'https://economictimes.indiatimes.com/news/newsblogs/india-general-elections-2024-live-updates-lok-sabha-polls-phase-5-date-schedule-pm-modi-arvind-kejriwal-ec-election-commission-mamata-banerjee-rahul-gandhi-modi-wealth-bjp-aap-ind-bloc-congress-may-15-latest-election-news/liveblog/110132335.cms'
44,44,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/sonia-gandhis-attempt-to-launch-rahul-gandhi-from-raebareli-will-fail-amit-shah/articleshow/109812026.cms'
45,45,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/modi-afraid-to-contest-from-gujarat-asks-karnataka-minister-priyank-kharge/videoshow/109842537.cms'
46,46,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/west-bengal/nobody-can-overturn-sc-verdict-on-ram-mandir-stop-caa-implementation-pm-modi-gives-five-guarantees-to-bengal/articleshow/110052422.cms'
47,47,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/celebrity-kangana-vs-royal-vikramaditya-on-himachals-mandi-seat-clash-of-richest-titans/articleshow/110224757.cms'
48,48,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/sp-global-ratings-report-on-india-stamp-of-authority-on-success-of-centres-policies-bjp/articleshow/110563132.cms'
49,49,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/lok-sabha-elections-2024-rahul-gandhi-files-nomination-from-raebareli/videoshow/109812629.cms'
50,50,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/big-guns-missing-in-maneka-gandhis-low-decibel-campaign-in-sultanpur/articleshow/110357843.cms'
51,51,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/congress-too-made-mistakes-will-need-to-change-its-politics-rahul-gandhi/articleshow/110018203.cms'
52,52,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/delhi/security-beefed-up-ahead-of-rallies-by-pm-modi-rahul-gandhi-in-delhi/articleshow/110225436.cms'
53,53,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/aap-urban-naxal-party-win-for-candidate-backed-by-it-will-bring-maoist-menace-says-amit-shah/articleshow/109841063.cms'
54,54,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/run-rahul-run-bjp-takes-dig-as-congress-leader-fielded-from-rae-bareli-in-ls-polls/articleshow/109813407.cms'
55,55,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/assembly-elections/odisha/bjp-lines-up-national-leaders-union-ministers-cms-for-campaign-in-odisha/articleshow/109923863.cms'
56,56,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/pm-modi-wont-debate-with-me-as-he-cant-answer-questions-on-adani-links-rahul-gandhi/videoshow/110237038.cms'
57,57,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/telangana/after-third-phase-of-polls-congress-indi-alliances-fuse-blown-off-says-pm-modi-at-telangana-rally/articleshow/109939572.cms'
58,58,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/india-bloc-storm-arriving-in-uttar-pradesh-modi-will-not-become-pm-rahul-gandhi/articleshow/110004576.cms'
59,59,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pm-modi-slams-congress-asks-rahul-gandhi-to-reveal-ambani-adani-connection-with-the-party/articleshow/109940302.cms'
60,60,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/have-maintained-dignity-with-every-member-of-balasahebs-family-irrespective-of-political-dynamics-pm-modi/articleshow/110092064.cms'
61,61,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/aiyar-pitroda-and-raut-jokers-no-one-takes-them-seriously-former-mp-cm-shivraj-singh-chouhan/articleshow/110010200.cms'
62,62,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/rahul-gandhi-gets-beard-trimmed-at-local-barbershop-in-raebareli/articleshow/110105738.cms'
63,63,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/telangana/telangana-records-61-54-per-cent-voter-turnout-in-ls-polls-polling-peaceful/articleshow/110092558.cms'
64,64,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/rahul-gandhi-chose-raebareli-sensing-wayanad-defeat-says-pm-modi/articleshow/109824954.cms'
65,65,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/economist-gautam-sen-tells-12-crore-reasons-why-rahul-gandhis-wealth-distribution-plan-wont-work-in-india/articleshow/109938883.cms'
66,66,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/come-back-to-karnataka-face-investigation-kumaraswamy-appeals-to-prajwal-revanna/articleshow/110291673.cms'
67,67,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/rahul-gandhi-absolutely-correct-in-demanding-probe-into-pm-modis-allegation-says-p-chidambaram/articleshow/110005013.cms'
68,68,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/third-eye-platform-for-promise-khatakhat-fatafat-and-breathless-team/articleshow/110543504.cms'
69,69,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/adani-group-files-injunction-against-rahul-gandhi-and-pm-modi-over-alleged-defamatory-statements/articleshow/110469345.cms'
70,70,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/raebareli-karmabhoomi-of-my-mother-grandmother-rahul-gandhi/articleshow/110083038.cms'
71,71,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/injunction-filed-against-rahul-gandhi-and-pm-modi-over-alleged-defamatory-statements-against-adani-group/articleshow/110469345.cms'
72,72,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/bjp-takes-up-debate-challenge-with-rahul-gandhi-proposes-bjym-vice-president-abhinav-prakash/videoshow/110100138.cms'
73,73,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/assembly-elections/jharkhand/pm-wants-to-transfer-tribal-jungle-jal-zameen-to-industrialists-rahul-gandhi/articleshow/109927580.cms'
74,74,b'Economic Times',b'https://economictimes.indiatimes.com/news/india/economist-gautam-sen-on-sam-pitrodas-remark-over-inheritance-tax-not-a-friend-of-india/videoshow/109937476.cms'
75,75,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/rahul-using-maoist-language-companies-will-think-50-times-before-investing-in-congress-ruled-states-pm/articleshow/110246727.cms'
76,76,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/uttar-pradesh/up-gears-up-for-fourth-phase-of-polls-in-13-constituencies/articleshow/110048862.cms'
77,77,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/we-will-form-commission-waive-farmer-loans-as-many-times-required-rahul-gandhi-in-punjab/articleshow/110548047.cms'
78,78,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/wealth-redistribution-tempest-much-ado-about-nothing-read-no-vote-bank/articleshow/110416459.cms'
79,79,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/bjps-sambit-patra-apologises-for-his-jagannath-is-modis-bhakt-comment/articleshow/110287508.cms'
80,80,b'Economic Times',b'https://economictimes.indiatimes.com/news/politics-and-nation/rahul-gandhi-remembers-father-rajiv-gandhi-on-his-death-anniversary-says-your-dreams-are-my-dreams/articleshow/110289556.cms'
81,81,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/british-raj-like-conditions-prevailing-in-india-under-pm-modis-rule-priyanka-gandhi/articleshow/109932761.cms'
82,82,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/india/lok-sabha-polls-congress-questions-big-rise-in-voter-turnout-data/articleshow/110342164.cms'
83,83,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/bihar/chacha-is-right-nda-will-be-completely-wiped-out-tejashwi-yadav-on-nitishs-cm-modi-gaffe/articleshow/110474224.cms'
84,84,b'Economic Times',b'https://economictimes.indiatimes.com/news/elections/lok-sabha/karnataka/rahul-gandhi-writes-to-karnataka-cm-over-prajwal-revanna-scandal-says-women-are-bearing-the-brunt-of-pms-action/articleshow/109834308.cms'
